날짜,경제위기
2020-08-18,34.52104
2020-08-19,36.01859
2020-08-20,35.19235
2020-08-21,32.04234
2020-08-22,24.63206
2020-08-23,21.37877
2020-08-24,30.64807
2020-08-25,32.42964
2020-08-26,28.16937
2020-08-27,28.32429
2020-08-28,25.97469
2020-08-29,21.27549
2020-08-30,22.07591
2020-08-31,30.82881
2020-09-01,32.94603
2020-09-02,35.47637
2020-09-03,30.18332
2020-09-04,26.49109
2020-09-05,18.0222
2020-09-06,19.88122
2020-09-07,27.23986
2020-09-08,26.7751
2020-09-09,28.45339
2020-09-10,29.61528
2020-09-11,26.46527
2020-09-12,18.82261
2020-09-13,19.00335
2020-09-14,26.07797
